"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"HOTAIR","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29805510","details","","","","",""
"HOTAIR","small cell lung cancer","qPCR, Western blot, etc.","up-regulated","","","","30596070","details","","","","",""
"HOTAIRM1","lung cancer","qRT-PCR","down-regulated","","","","32038606","details","","","","",""
"HOTAIRM1","non small cell lung cancer","qRT-PCR","up-regulated","","","","31880484","details","","","","",""
"HOTAIRM1","lung adenocarcinoma","qPCR etc.","down-regulated","","","","29662483","details","","","","",""
"HOTTIP","non small cell lung cancer","RNA-seq","up-regulated","","","","30819158","details","","","","",""
"HOTTIP","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, other","up-regulated","","","","31422060","details","","","","",""
"HOTTIP","small cell lung cancer","Microarray, qPCR, Western blot, RIP, Luciferase reporter assay etc.","up-regulated","","","","29041935","details","","","","",""
"HOTTIP","lung adenocarcinoma","qPCR, Western blot","up-regulated","","","","29272003","details","","","","",""
"HOTTIP","non small cell lung cancer","qPCR, RNAi, Flow cytometry assay etc.","up-regulated","","","","27347311","details","","","","",""
"HOTTIP","lung cancer","qPCR, RNAi etc.","up-regulated","","","","26265284","details","","","","",""
"HOTTIP","small cell lung cancer","Microarray,  qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP","up-regulated","","","","29367594","details","","","","",""
"HOXA-AS2","non small cell lung cancer","qRT-PCR","up-regulated","","","","32096154","details","","","","",""
"HOXA-AS2","non small cell lung cancer","qRT-PCR, in vitro knockdown, RIP etc.","up-regulated","","","","31064819","details","","","","",""
"HOXA-AS2","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","31389597","details","","","","",""
"HOXA-AS2","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","31210310","details","","","","",""
"HOXA-AS3","lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, RIP","up-regulated","","","","29899328","details","","","","",""
"HOXA-AS3","lung adenocarcinoma","qPCR, Western blot, RIP, ChIP, etc.","up-regulated","","","","29899328","details","","","","",""
"HOXA10-AS","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29729275","details","","","","",""
"HOXA11-AS","non small cell lung cancer","RT-qPCR, Western blot Assay, Luciferase Reporter Assay","up-regulated","","","","31908486","details","","","","",""
"HOXA11-AS","lung adenocarcinoma","qPCR, Western blot, RIP, Dual luciferase reporter assay","up-regulated","","","","30099826","details","","","","",""
"HOXA11-AS","lung cancer","qPCR etc.","up-regulated","","","","29616096","details","","","","",""
"HOXA11-AS","non small cell lung cancer","qPCR etc.","up-regulated","","","","28717185","details","","","","",""
"HOXA11-AS","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29034803","details","","","","",""
"HOXA11-AS","non small cell lung cancer","qPCR, RIP, Western blotting etc.","up-regulated","","","","28615992","details","","","","",""
"HOXB-AS3","lung cancer","qRT-PCR, Western blot","up-regulated","","","","32039488","details","","","","",""
"HOXB13-AS1","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"HOXD-AS1","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29033588","details","","","","",""
"HSPC324","lung adenocarcinoma","RT-qPCR","up-regulated","","","","32068121","details","","","","",""
"HULC","lung squamous cell carcinoma","qPCR, Western blot, other","down-regulated","","","","31448453","details","","","","",""
"HULC","non small cell lung cancer","qPCR, Western blot, etc.","up-regulated","","","","30575912","details","","","","",""
"IGF2AS","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","28471495","details","","","","",""
"IGFBP4-1","lung cancer","qPCR, RNAi, etc.","down-regulated","","","","28946875","details","","","","",""
"IRAIN","non small cell lung cancer","qPCR, RNAi, Cell proliferation assay, Cell migration assay etc.","up-regulated","","","","26722412","details","","","","",""
"JHDM1D-AS1","non small cell lung cancer","PCR, Western blot, RIP","up-regulated","","","","31739208","details","","","","",""
"JPX","lung cancer","RT-qPCR, Luciferase reporter assay, western blotting","up-regulated","","","","31941509","details","","","","",""
"JPX","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31253987","details","","","","",""
"KCNK15-AS1","lung cancer","qPCR, Western blot etc.","up-regulated","","","","31788071","details","","","","",""
"KCNQ1OT1","non small cell lung cancer","qPCR, etc.","up-regulated","","","","31486494","details","","","","",""
"KCNQ1OT1","non small cell lung cancer","qPCR etc.","up-regulated","","","","29504267","details","","","","",""
"KCNQ1OT1","lung adenocarcinoma","qPCR, Western blot etc.","up-regulated","","","","28600629","details","","","","",""
"KDM5BAS1","non small cell lung cancer","qPCR","up-regulated","","","","31562647","details","","","","",""
"LBX2-AS1","non small cell lung cancer","qPCR, western blot","up-regulated","","","","31539129","details","","","","",""
"LCAL1","lung cancer","qPCR","up-regulated","","","","30741368","details","","","","",""
"LCAL1","lung cancer","RNA-seq, qPCR, RNAi etc.","up-regulated","","","","25116943","details","","","","",""
"LCAL6","non small cell lung cancer","RT-PCR, Western blot","up-regulated","","","","29277771","details","","","","",""
"LCAL6","lung adenocarcinoma","qPCR, RNAi, Flow cytometry assay etc.","up-regulated","","","","26918601","details","","","","",""
"LCAT1","lung cancer","qPCR, Western blot, Luciferase reporter assay, RNA-seq etc","up-regulated","","","","31779616","details","","","","",""
"LCPAT1","lung cancer","qPCR, Western blot, in vitro knockdown, RIP","up-regulated","","","","29913439","details","","","","",""
"LCPAT1","lung cancer","qPCR, Western blot, RNAi, other","up-regulated","","","","30197790","details","","","","",""
"LCPAT1","lung cancer","qPCR, Western blot, etc.","up-regulated","","","","29913439","details","","","","",""
"LEF1-AS1","lung cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","30734202","details","","","","",""
"LEF1-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31386568","details","","","","",""
"LIMD1-AS1","non small cell lung cancer","qPCR, RIP etc.","down-regulated","","","","32239804","details","","","","",""
"LIN28B-AS1","lung adenocarcinoma","qPCR, Microarray, RIP, other","up-regulated","","","","30353165","details","","","","",""
"LINC-CBR1-2","lung cancer","Microarray, qPCR, RNAi etc.","up-regulated","","","","24735754","details","","","","",""
"LINC-ITGB1","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30485693","details","","","","",""
"LINC-PINT","lung cancer","qRT-PCR, Western blot, RIP","down-regulated","","","","31981466","details","","","","",""
"LINC-PINT","lung adenocarcinoma","qPCR, microarry, RIP etc.","down-regulated","","","","29078818","details","","","","",""
"LINC-PINT3","lung cancer","Microarray, qPCR etc.","up-regulated","","","","28119085","details","","","","",""
"LINC-ROR","lung adenocarcinoma","qPCR, Western blot, RIP etc.","up-regulated","","","","28388536","details","","","","",""
"LINC-ROR","non small cell lung cancer","qPCR, Western blot, MIT etc.","up-regulated","","","","28459375","details","","","","",""
"LINC-ROR","lung cancer","qPCR","up-regulated","","","","29028092","details","","","","",""
"LINC-ROR","lung cancer","qPCR, Western blot","up-regulated","","","","28516515","details","","","","",""
"LINC-UFC1","non small cell lung cancer","qPCR, Western blot, RIP etc.","up-regulated","","","","32242003","details","","","","",""
"LINC00035","lung adenocarcinoma","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","27797003","details","","","","",""
"LINC00035","lung squamous cell carcinoma","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","27797003","details","","","","",""
"LINC00113","lung adenocarcinoma","Microarray, qPCR","up-regulated","","","","30151992","details","","","","",""
"LINC00152","lung adenocarcinoma","qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","28109288","details","","","","",""
"LINC00152","lung cancer","qPCR, Microarray etc.","up-regulated","","","","28592840","details","","","","",""
"LINC00152","lung adenocarcinoma","qPCR etc.","up-regulated","","","","28819405","details","","","","",""
"LINC00152","lung cancer","qPCR etc.","up-regulated","","","","28787699","details","","","","",""
"LINC00163","lung cancer","qPCR, Western blot, in vitro knockdown, RIP, etc.","down-regulated","","","","30662806","details","","","","",""
"LINC00173","small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","31477834","details","","","","",""
"LINC00210","non small cell lung cancer","Luciferase reporter assay etc","up-regulated","","","","32266029","details","","","","",""
"LINC00221","non small cell lung cancer","qRT-PCR, Western blotting etc.","up-regulated","","","","31029744","details","","","","",""
"LINC00222","lung adenocarcinoma","qPCR, Western blot","down-regulated","","","","29990868","details","","","","",""
"LINC00222","lung adenocarcinoma","PCR, Western blot analysis","down-regulated","","","","29990868","details","","","","",""
"LINC00243","non small cell lung cancer","qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31595421","details","","","","",""
"LINC00261","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","down-regulated","","","","32305053","details","","","","",""
"LINC00261","non small cell lung cancer","qPCR, Western blot etc","down-regulated","","","","31772674","details","","","","",""
"LINC00261","non small cell lung cancer","qRT-PCR , Western blot , RIP , in vitro knockdown etc.","down-regulated","","","","31115010","details","","","","",""
"LINC00261","lung cancer","qPCR, etc.","down-regulated","","","","30597925","details","","","","",""
"LINC00261","non small cell lung cancer","qPCR","down-regulated","","","","29272004","details","","","","",""
"LINC00261","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25590602","details","","","","",""
"LINC00273","lung cancer","qRT-PCR, Western blot","up-regulated","","","","32017082","details","","","","",""
"LINC00277","non small cell lung cancer","Microarray, qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","28040594","details","","","","",""
"LINC00312","lung adenocarcinoma","qPCR, Western blot, other","up-regulated","","","","30470227","details","","","","",""
"LINC00312","non small cell lung cancer","qPCR, RNAi, ChIP, Cell proliferation assay etc.","down-regulated","","","","28338293","details","","","","",""
"LINC00319","lung cancer","qPCR, Western blot","up-regulated","","","","28800794","details","","","","",""
"LINC00319","lung adenocarcinoma","qPCR, Luciferase reporter assay etc.","up-regulated","","","","29408583","details","","","","",""
"LINC00324","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30556874","details","","","","",""
"LINC00336","lung cancer","qPCR, Luciferase reporter assay, RIP, Western blot","up-regulated","","","","30787392","details","","","","",""
"LINC00337","non small cell lung cancer","qPCR, Western blot, RIP","up-regulated","","","","31632575","details","","","","",""
"LINC00339","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","29906749","details","","","","",""
"LINC00339","non small cell lung cancer","qPCR, Western blot, RIP, Luciferase reporter assays, etc.","up-regulated","","","","29906749","details","","","","",""
"LINC00342","non small cell lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","31539128","details","","","","",""
"LINC00342","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","up-regulated","","","","27299310","details","","","","",""
"LINC00355","lung adenocarcinoma","Dual luciferase reporter gene assay, RIP, RT-qPCR, Western blot analysis","up-regulated","","","","31689506","details","","","","",""
"LINC00426","non small cell lung cancer","qPCR","down-regulated","","","","31691516","details","","","","",""
"LINC00460","lung adenocarcinoma","qPCR, Western blot etc","up-regulated","","","","31789388","details","","","","",""
"LINC00460","lung adenocarcinoma","qPCR, Luciferase reporter assay, other","up-regulated","","","","30359741","details","","","","",""
"LINC00460","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","30601026","details","","","","",""
"LINC00460","non small cell lung cancer","qPCR etc.","up-regulated","","","","29409808","details","","","","",""
"LINC00461","lung adenocarcinoma","Dual luciferase reporter gene assay, RIP, RT-qPCR, Western blot analysis","up-regulated","","","","31967713","details","","","","",""
"LINC00461","non small cell lung cancer","qRT-PCR, Dual luciferase reporter assay, Western blot","up-regulated","","","","31934717","details","","","","",""
"LINC00467","lung adenocarcinoma","RT-PCR, Western blot analysis, Luciferase assay","up-regulated","","","","31686834","details","","","","",""
"LINC00467","lung adenocarcinoma","RT-qPCR, Western blot analysis, RIP, Luciferase reporter assay","up-regulated","","","","31680321","details","","","","",""
"LINC00467","lung adenocarcinoma","Microarray, RT-qPCR, in vitro knockdown, Western blot, RIP etc.","up-regulated","","","","31180543","details","","","","",""
"LINC00467","lung adenocarcinoma","qRT-PCR, Western blotting, RIP etc.","up-regulated","","","","31027730","details","","","","",""
"LINC00472","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","down-regulated","","","","31382188","details","","","","",""
"LINC00472","lung squamous cell carcinoma","Microarray, qPCR etc.","down-regulated","","","","26159226","details","","","","",""
"LINC00472","lung adenocarcinoma","qPCR","down-regulated","","","","28793054","details","","","","",""
"LINC00472","lung adenocarcinoma","qPCR","down-regulated","","","","28793054","details","","","","",""
"LINC00472","lung adenocarcinoma","RNA-seq, qPCR etc.","down-regulated","","","","27826625","details","","","","",""
"LINC00473","lung cancer","Microarray, qPCR, RNA-ISH, FISH etc.","up-regulated","","","","27140397","details","","","","",""
"LINC00483","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","up-regulated","","","","30714135","details","","","","",""
"LINC00485","lung adenocarcinoma","qPCR, western blot","up-regulated","","","","31528122","details","","","","",""
"LINC00511","lung cancer","qPCR, Western blot, RNAi, other","down-regulated","","","","31415720","details","","","","",""
"LINC00511","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31646568","details","","","","",""
"LINC00511","lung adenocarcinoma","qPCR, RNAi, Cell proliferation assay etc.","up-regulated","","","","27797003","details","","","","",""
"LINC00511","lung squamous cell carcinoma","qPCR, RNAi, Cell proliferation assay etc.","up-regulated","","","","27797003","details","","","","",""
"LINC00511","non small cell lung cancer","qPCR, RNAi, Western blot, RNA pull-down assay etc.","up-regulated","","","","27845772","details","","","","",""
"LINC00519","lung squamous cell carcinoma","qPCR, Luciferase reporter assay, in vitro knockdown etc.","up-regulated","","","","32297697","details","","","","",""
"LINC00524","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","28040594","details","","","","",""
"LINC00525","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","31991382","details","","","","",""
"LINC00525","non small cell lung cancer","qPCR","up-regulated","","","","31638253","details","","","","",""
"LINC00607","non small cell lung cancer","PCR","down-regulated","","","","30980423","details","","","","",""
"LINC00628","lung adenocarcinoma","qPCR, Luciferase reporter assay, Western blot, RIP","up-regulated","","","","31557618","details","","","","",""
"LINC00641","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","down-regulated","","","","31322545","details","","","","",""
"LINC00662","lung cancer","qPCR, RIP, RNAi, other","up-regulated","","","","30256974","details","","","","",""
"LINC00663","lung cancer","qPCR etc.","down-regulated","","","","26743782","details","","","","",""
"LINC00665","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30889481","details","","","","",""
"LINC00665","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30692511","details","","","","",""
"LINC00667","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP etc.","differential expressed","","","","32281700","details","","","","",""
"LINC00668","non small cell lung cancer","qRT-PCR, in vitro knockdown , Western blot, Chromatin immunoprecipitation (ChIP) assays, RIP etc.","up-regulated","","","","31150989","details","","","","",""
"LINC00673","non small cell lung cancer","PCR","down-regulated","","","","30980423","details","","","","",""
"LINC00673","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30499379","details","","","","",""
"LINC00673","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","28697764","details","","","","",""
"LINC00673","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","25590602","details","","","","",""
"LINC00673","non small cell lung cancer","qPCR, RIP etc.","up-regulated","","","","27027352","details","","","","",""
"LINC00702","non small cell lung cancer","qPCR, RNA-seq","down-regulated","","","","30840927","details","","","","",""
"LINC00707","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","31788103","details","","","","",""
"LINC00707","lung adenocarcinoma","qPCR, Western blot, RNAi","up-regulated","","","","29482190","details","","","","",""
"LINC00852","lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, etc.","differentially expressed","","","","30519313","details","","","","",""
"LINC00857","lung adenocarcinoma","qRT-PCR, Dual luciferase assay, Western blot analysis","up-regulated","","","","31667785","details","","","","",""
"LINC00857","lung cancer","Microarray, qPCR, RNAi etc.","down-regulated","","","","26862852","details","","","","",""
"LINC00858","lung cancer","RT-PCR , Luciferase reporter assay , Western blot etc.","up-regulated","","","","31131637","details","","","","",""
"LINC00858","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay, RNA pull-down assay, CCK-8 assay etc.","up-regulated","","","","28177876","details","","","","",""
"LINC00942","lung cancer","qPCR","differential expression","","","","28959951","details","","","","",""
"LINC00958","lung adenocarcinoma","qRT-qPCR, Western blot","up-regulated","","","","31997940","details","","","","",""
"LINC00958","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","31752512","details","","","","",""
"LINC00958","non small cell lung cancer","qRT-PCR, western blot analysis, Luciferase reporter assay","up-regulated","","","","31855084","details","","","","",""
"LINC00961","non small cell lung cancer","Microarray, qPCR, Western blot","down-regulated","","","","30010215","details","","","","",""
"LINC00961","lung adenocarcinoma","RNA-seq, qPCR etc.","down-regulated","","","","27826625","details","","","","",""
"LINC00961","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","29156520","details","","","","",""
"LINC00961","non small cell lung cancer","PCR, Western blot analysis","down-regulated","","","","30010215","details","","","","",""
"LINC00968","non small cell lung cancer","qPCR, Western blot, in vitro knockdown etc.","up-regulated","","","","28926089","details","","","","",""
"LINC00968","lung adenocarcinoma","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","27797003","details","","","","",""
"LINC00968","lung squamous cell carcinoma","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","27797003","details","","","","",""
"LINC00982","lung adenocarcinoma","qPCR","down-regulated","","","","30132554","details","","","","",""
"LINC01088","non small cell lung cancer","RT-qPCR, western blot, RIP","up-regulated","","","","31811854","details","","","","",""
"LINC01093","non small cell lung cancer","qRT-PCR, Western blotting","up-regulated","","","","31957835","details","","","","",""
"LINC01116","non small cell lung cancer","qRT-PCR, Western blot Analyses","up-regulated","","","","31841994","details","","","","",""
"LINC01123","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","31488218","details","","","","",""
"LINC01124","non small cell lung cancer","qRT-PCR","down-regulated","","","","32099381","details","","","","",""
"LINC01133","non small cell lung cancer","qPCR, RNAi, Western blot, RIP, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","26840083","details","","","","",""
"LINC01133","lung squamous cell carcinoma","Microarray, qPCR, RNAi etc.","up-regulated","","","","25908174","details","","","","",""
"LINC01186","lung cancer","Microarray, qPCR, RNAi, Western blot, Cell migration and invasion assay etc.","down-regulated","","","","28119085","details","","","","",""
"LINC01194","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","32346298","details","","","","",""
"LINC01207","lung adenocarcinoma","qPCR, RNAi, Western blot, RIP, ChIP etc.","up-regulated","","","","26693067","details","","","","",""
"LINC01234","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","32246902","details","","","","",""
"LINC01234","non small cell lung cancer","qRT-PCR, Luciferase reporter assays, RIP, Western blot analysis","up-regulated","","","","31959200","details","","","","",""
"LINC01234","non small cell lung cancer","qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31106421","details","","","","",""
"LINC01288","non small cell lung cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31054777","details","","","","",""
"LINC01296","non small cell lung cancer","qPCR","up-regulated","","","","30899389","details","","","","",""
"LINC01296","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RNAi, other","up-regulated","","","","30240003","details","","","","",""
"LINC01354","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"LINC01354","lung cancer","qPCR","up-regulated","","","","31538498","details","","","","",""
"LINC01419","lung adenocarcinoma","qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.","up-regulated","","","","31582214","details","","","","",""
"LINC01433","non small cell lung cancer","qPCR, Western blot, RNAi etc.","up-regulated","","","","29532622","details","","","","",""
"LINC01436","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30614188","details","","","","",""
"LINC01510","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, other","up-regulated","","","","30399588","details","","","","",""
"LINC01512","lung adenocarcinoma","qPCR etc.","up-regulated","","","","28569418","details","","","","",""
"LINC01537","Lung Cancer","RNA-seq, qPCR","down-regulated","","","","31374807","details","","","","",""
"LINC01561","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","32003010","details","","","","",""
"LINC01614","non small cell lung cancer","PCR","down-regulated","","","","30980423","details","","","","",""
"LINC01614","non small cell lung cancer","qPCR","up-regulated","","","","31348244","details","","","","",""
"LINC02418","non small cell lung cancer","RT-qPCR, Western blot, Luciferase Activity Reporter Assay","up-regulated","","","","31841189","details","","","","",""
"LINC81507","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP","down-regulated","","","","31296840","details","","","","",""
"LINCRNA-p21","non small cell lung cancer","qPCR, Western blot, etc.","up-regulated","","","","30556447","details","","","","",""
"LINCRNA-p21","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","down-regulated","","","","30535441","details","","","","",""
"LINCRNA-p21","lung cancer","qPCR etc.","down-regulated","","","","20673990","details","","","","",""
"LINCRNA-p21","non small cell lung cancer","qPCR, RNAi etc.","down-regulated","","","","27496652","details","","","","",""
"LINCRNA00494","non small cell lung cancer","RT-qPCR, Western blot","down-regulated","","","","32117734","details","","","","",""
"LINK-A","non small cell lung cancer","qPCR, Western blot, other","up-regulated","","","","31404323","details","","","","",""
"LL22NC03-N64E9.1","lung cancer","qPCR, in vitro knockdown","up-regulated","","","","29935018","details","","","","",""
"LL22NC03-N64E9.1","lung cancer","qPCR, etc.","up-regulated","","","","29935018","details","","","","",""
"LNBC3","non small cell lung cancer","Western blot","up-regulated","","","","31743519","details","","","","",""
"LNC CRYBG3","lung cancer","qPCR, Western blot","up-regulated","","","","30026857","details","","","","",""
"LNC CRYBG3","lung cancer","qPCR, Western blot","down-regulated","","","","31258784","details","","","","",""
"lnc-bc060912","lung cancer","qPCR, RNAi, Northern blot, RIP etc.","up-regulated","","","","25848691","details","","","","",""
"lnc-BMP1-1","lung cancer","qRT-PCR, Western blotting","down-regulated","","","","31901898","details","","","","",""
"lncAGER","lung cancer","qRT-PCR, western blotting, Luciferase reporter assay","down-regulated","","","","29068471","details","","","","",""
"lncARSR","non small cell lung cancer","qPCR, Western blot etc","up-regulated","","","","32269718","details","","","","",""
"lncFOXO1","lung cancer","qPCR, Western blot, in vitro knockdown","down-regulated","","","","31217928","details","","","","",""
"lncKLF6","non small cell lung cancer","qPCR, Microarray, Luciferase reporter assay, RNAi, RIP, other","up-regulated","","","","30210914","details","","","","",""
"lncRNA-AC078883.3","non small cell lung cancer","qRT-PCR , Luciferase reporter assay , Western blot etc.","down-regulated","","","","31111480","details","","","","",""
"lncRNA-ATB","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32092085","details","","","","",""
"lncRNA-ATB","lung squamous cell carcinoma","Double-luciferase reporter assay, RT-qPCR, Western blotting analysis","up-regulated","","","","31934791","details","","","","",""
"lncRNA-ATB","lung cancer","qPCR, Western blot","up-regulated","","","","30128006","details","","","","",""
"lncRNA-ATB","non small cell lung cancer","RT-PCR, Western blot","up-regulated","","","","31983095","details","","","","",""
"lncRNA-ATB","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay etc.","differential expressed","","","","32256108","details","","","","",""
"lncRNA-ATB","lung cancer","qPCR, Western blot etc.","up-regulated","","","","29693289","details","","","","",""
"lncRNA-ATB","non small cell lung cancer","qPCR, RNAi, Flow cytometry assay etc.","up-regulated","","","","27878433","details","","","","",""
"lncRNA-DQ786227","lung cancer","Microarray, qPCR, RNAi, in vitro knockdown etc.","up-regulated","","","","24084393","details","","","","",""
"lncRNA-HEIH","non small cell lung cancer","qPCR, Western blot, other","up-regulated","","","","30230600","details","","","","",""
"lncRNA-HIT","non small cell lung cancer","qPCR, Western blot, RNAi","differential expression","","","","28429752","details","","","","",""
"lncRNA-HIT","non small cell lung cancer","qPCR, Western blot, RIP, ChIP, RNA pull-down assay etc.","up-regulated","","","","27790864","details","","","","",""
"lncRNA-LET","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","29416684","details","","","","",""
"lncRNA-LET","lung adenocarcinoma","qPCR, RNAi, Western blot, Cell proliferation assay etc.","down-regulated","","","","27896272","details","","","","",""
"lncRNA-LET","lung squamous cell carcinoma","qPCR, Western blot, RIP, in vitro knockdown etc.","down-regulated","","","","23395002","details","","","","",""
"lncRNA-MIF","lung cancer","qPCR, Luciferase reporter assay etc.","differential expression","","","","27317567","details","","","","",""
"lncRNA-MIF","lung cancer","qPCR, Luciferase reporter assay etc.","differential expression","","","","27317567","details","","","","",""
"lncRNA-NEF","small cell lung cancer","RT-qPCR, Western blotting etc.","down-regulated","","","","31186707","details","","","","",""
"lncRNA-NEF","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30854054","details","","","","",""
"lncRNA-PRAL","lung cancer","qPCR, Western blot etc.","down-regulated","","","","28396580","details","","","","",""
"lncRNA-PRAL","non small cell lung cancer","qPCR, other","down-regulated","","","","30274002","details","","","","",""
"lncRNA1308","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30584356","details","","","","",""
"lncTCF7","non small cell lung cancer","qPCR, RNAi, ChIP, Dual luciferase reporter assay etc.","up-regulated","","","","27766570","details","","","","",""
"LOC100132354","lung adenocarcinoma","qPCR, Western blot, RNAi, other","up-regulated","","","","30323681","details","","","","",""
"LOC100132354","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","25089627","details","","","","",""
"LOC100499405","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"LOC146880","lung cancer","qPCR, Western blot, Cell migration and invasion assay etc.","up-regulated","","","","27836757","details","","","","",""
"LOC146880","non small cell lung cancer","Microarray, qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","27849024","details","","","","",""
"LOC285194","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","down-regulated","","","","30542733","details","","","","",""
"LOC285194","non small cell lung cancer","qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay, ISH etc.","differential expression","","","","23558749","details","","","","",""
"LOC344887","non small cell lung cancer","qPCR, Microarray etc.","up-regulated","","","","29875987","details","","","","",""
"LOC390483","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","26857641","details","","","","",""
"LOC440905","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25085781","details","","","","",""
"LOC440905","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","25394782","details","","","","",""
"LOC554202","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","31762810","details","","","","",""
"LOC728228","lung cancer","Microarray, qPCR, RNAi, Western blot etc.","up-regulated","","","","25820656","details","","","","",""
