"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"CHIAP2","lung adenocarcinoma","RNA-seq, qPCR etc.","up-regulated","","","","27826625","details","","","","",""
"CHRF","lung adenocarcinoma","qPCR, Western blot, other","up-regulated","","","","30333887","details","","","","",""
"circ 100876","non small cell lung cancer","reverse transcription, qRT-PCR","up-regulated","","","","28343871","details","","","","",""
"circ-0067934","non small cell lung cancer","RT?qPCR, Cell proliferation assay, Colony formation assay","up-regulated","","","","30344708","details","","","","",""
"circ-ABCB10","non small cell lung cancer","qPCR, Cell Counting Kit-8 (CCK-8) assay, colony formation assay, Ethynyl deoxyuridine","up-regulated","","","","32196602","details","","","","",""
"circ_0000003","non small cell lung cancer","qPCR, western blot, CCK8 and flow cytometry","up-regulated","","","","31736412","details","","","","",""
"circ_0000064","lung cancer","qPCR, Western blot","up-regulated","","","","29223555","details","","","","",""
"circ_0000326","lung adenocarcinoma","qPCR","up-regulated","","","","32248836","details","","","","",""
"circ_0000567","non small cell lung cancer","qPCR","up-regulated","","","","32328186","details","","","","",""
"circ_0000729","Lung Adenocarcinoma","qPCR, other","up-regulated","","","","29932500","details","","","","",""
"circ_0000735","non small cell lung cancer","qPCR","up-regulated","","","","30737027","details","","","","",""
"circ_0001649","non small cell lung cancer","qPCR, luciferase reporter assay, other","down-regulated","","","","30029881","details","","","","",""
"circ_0001946","non small cell lung cancer","qRT-PCR , western blot , RIP , RNase R treatment , sanger sequencing , FISH , cell viability, proliferation, and apoptosis assays , cell clone formation, migration, and invasion assays , drug sensitivity Assay , host-cell reactivation assay","down-regulated","","","","31249811","details","","","","",""
"circ_0001946","lung adenocarcinoma","qPCR","up-regulated","","","","30841451","details","","","","",""
"circ_0002360","lung adenocarcinoma","RNA-seq","up-regulated","","","","30787976","details","","","","",""
"circ_0002483","non small cell lung cancer","qPCR","down-regulated","","","","31844042","details","","","","",""
